route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
113G,MT,115543640,Union Station,0, 113 31,1316730
113G,MT,115543641,Union Station,0, 113 32,1316730
113G,MT,115543642,Union Station,0, 113 30,1316730
113G,MT,115543643,Union Station,0, 113 31,1316730
113G,MT,115543644,Union Station,0, 113 30,1316730
113G,MT,115543645,Union Station,0, 113 32,1316730
113G,MT,115543646,Union Station,0, 113 31,1316730
113G,MT,115543647,Union Station,0, 113 30,1316730
113G,MT,115543648,Union Station,0, 113 32,1316730
113G,MT,115543650,Union Station,0, 113 31,1316730
113G,MT,115543651,Union Station,0, 113 30,1316730
113G,MT,115543652,Union Station,0, 113 32,1316730
113G,MT,115543653,Union Station,0, 113 31,1316730
113G,MT,115543654,Union Station,0, 113 30,1316730
113G,MT,115543655,Union Station,0, 113 31,1316730
113G,MT,115543656,Union Station,0, 113 32,1316730
113G,MT,115543657,Union Station,0, 113 30,1316730
113G,MT,115543658,Union Station,0, 113 31,1316730
113G,MT,115543659,Union Station,0, 113 30,1316730
113G,MT,115543660,Union Station,0, 113 32,1316730
113G,MT,115543661,Union Station,0, 113 31,1316730
113G,MT,115543662,Union Station,0, 113 30,1316730
113G,MT,115543663,Union Station,0, 113 32,1316730
113G,MT,115543664,Union Station,0, 113 31,1316730
113G,MT,115543665,Union Station,0, 113 30,1316730
113G,MT,115543667,Union Station,0, 113 32,1316730
113G,MT,115543672,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543673,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543674,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543675,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543676,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543677,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543678,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543679,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543680,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543681,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543682,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543683,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543684,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543685,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543686,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543687,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543688,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543689,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543690,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543691,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543692,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543693,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543694,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543695,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543696,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543697,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543698,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543699,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543700,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543701,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543702,Wheat Ridge Ward Station,1, 113 30,1316747
